cds_data/data_100000_20_15_u_10_ppgeh.txt
copyDataFile complete
cds_query/query_100000_20_15_u_10_ppgeh.txt
copyQueryFile complete
make complete
81397 : 1.41757   : 0.350886  >> 0.350886
67739 : 1.41721   : 0.360512  >> 0.360512
68238 : 1.41715   : 0.460486  >> 0.460486
86840 : 1.41596   : 0.327349  >> 0.327349
80751 : 1.41151   : 0.407975  >> 0.407975
10780 : 1.41096   : 0.402346  >> 0.402346
62948 : 1.40752   : 0.457999  >> 0.457999
92523 : 1.33425   : 0.512054  >> 0.512054
__________________
52321 : 1.92053   : 0.523076  >> 0.523076
68238 : 1.91738   : 0.609645  >> 0.609645
67739 : 1.91669   : 0.489307  >> 0.489307
29843 : 1.91134   : 0.611501  >> 0.611501
98837 : 1.89563   : 0.518707  >> 0.518707
80751 : 1.88988   : 0.558901  >> 0.558901
1858 : 1.87072   : 0.604013  >> 0.604013
24301 : 1.86641   : 0.673623  >> 0.673623
62948 : 1.85589   : 0.572996  >> 0.572996
92523 : 1.83035   : 0.690317  >> 0.690317
__________________
48879 : 1.72727   : 0.615222  >> 0.615222
86840 : 1.72658   : 0.624406  >> 0.624406
29843 : 1.71425   : 0.784609  >> 0.784609
98208 : 1.71405   : 0.691968  >> 0.691968
98837 : 1.70111   : 0.708253  >> 0.708253
80751 : 1.69388   : 0.709854  >> 0.709854
1858 : 1.68015   : 0.730454  >> 0.730454
24301 : 1.67152   : 0.868758  >> 0.868758
62948 : 1.65396   : 0.748922  >> 0.748922
92523 : 1.64218   : 0.855511  >> 0.855511
__________________
48879 : 2.0606   : 0.574983  >> 0.574983
98208 : 2.06023   : 0.659915  >> 0.659915
29843 : 2.05383   : 0.65644  >> 0.65644
52321 : 2.05173   : 0.642398  >> 0.642398
98837 : 2.03076   : 0.638844  >> 0.638844
80751 : 2.02175   : 0.644172  >> 0.644172
1858 : 2.01118   : 0.673607  >> 0.673607
24301 : 2.00351   : 0.758016  >> 0.758016
92523 : 1.98326   : 0.784597  >> 0.784597
62948 : 1.97271   : 0.659903  >> 0.659903
__________________
68238 : 1.77558   : 0.70665  >> 0.70665
98208 : 1.76703   : 0.675293  >> 0.675293
48879 : 1.76475   : 0.637068  >> 0.637068
29843 : 1.75566   : 0.730433  >> 0.730433
98837 : 1.74799   : 0.705025  >> 0.705025
80751 : 1.74224   : 0.613357  >> 0.613357
24301 : 1.71967   : 0.836671  >> 0.836671
1858 : 1.71638   : 0.71467  >> 0.71467
92523 : 1.70341   : 0.765492  >> 0.765492
62948 : 1.68895   : 0.695246  >> 0.695246
__________________
84450 : 1.61622   : 0.53812  >> 0.53812
68238 : 1.61555   : 0.482259  >> 0.482259
98837 : 1.61212   : 0.479884  >> 0.479884
1858 : 1.60138   : 0.512078  >> 0.512078
86840 : 1.60133   : 0.432391  >> 0.432391
80751 : 1.59674   : 0.486956  >> 0.486956
29843 : 1.59543   : 0.470282  >> 0.470282
24301 : 1.5932   : 0.580928  >> 0.580928
62948 : 1.5671   : 0.529564  >> 0.529564
92523 : 1.54494   : 0.611494  >> 0.611494
__________________
67739 : 1.94387   : 0.472702  >> 0.472702
48879 : 1.94382   : 0.445377  >> 0.445377
52321 : 1.94134   : 0.550669  >> 0.550669
